Using GPU 2
Start training: lr 0.010000, batch size 10
Checkpoint: ../checkpoints/
[20/41] 23200), Loss: 0.094, mAP 94.29%
[20/41] 23300), Loss: 0.042, mAP 92.91%
[20/41] 23400), Loss: 0.110, mAP 92.54%
[20/41] 23500), Loss: 0.083, mAP 92.39%
[20/41] 23600), Loss: 0.067, mAP 91.71%
[20/41] 23700), Loss: 0.031, mAP 92.45%
[20/41] 23800), Loss: 0.072, mAP 92.99%
[20/41] 23900), Loss: 0.064, mAP 93.62%
[20/41] 24000), Loss: 0.080, mAP 92.82%
[21/41] 24100), Loss: 0.040, mAP 95.46%
[21/41] 24200), Loss: 0.024, mAP 93.76%
[21/41] 24300), Loss: 0.018, mAP 95.24%
[21/41] 24400), Loss: 0.053, mAP 91.27%
[21/41] 24500), Loss: 0.086, mAP 93.22%
[21/41] 24600), Loss: 0.072, mAP 94.58%
[21/41] 24700), Loss: 0.069, mAP 94.58%
[21/41] 24800), Loss: 0.069, mAP 91.96%
[21/41] 24900), Loss: 0.083, mAP 94.20%
[21/41] 25000), Loss: 0.029, mAP 93.98%
[21/41] 25100), Loss: 0.038, mAP 93.07%
[21/41] 25200), Loss: 0.071, mAP 93.65%
Saved: ../checkpoints/
TESTING: 25263), mAP 92.78%
[22/41] 25300), Loss: 0.069, mAP 93.71%
[22/41] 25400), Loss: 0.059, mAP 92.93%
[22/41] 25500), Loss: 0.016, mAP 93.78%
[22/41] 25600), Loss: 0.026, mAP 93.77%
[22/41] 25700), Loss: 0.037, mAP 92.84%
[22/41] 25800), Loss: 0.048, mAP 93.82%
[22/41] 25900), Loss: 0.056, mAP 93.11%
[22/41] 26000), Loss: 0.036, mAP 93.67%
[22/41] 26100), Loss: 0.074, mAP 93.62%
[22/41] 26200), Loss: 0.078, mAP 92.71%
[22/41] 26300), Loss: 0.059, mAP 93.56%
[22/41] 26400), Loss: 0.069, mAP 91.73%
[23/41] 26500), Loss: 0.035, mAP 93.77%
[23/41] 26600), Loss: 0.046, mAP 94.16%
[23/41] 26700), Loss: 0.035, mAP 95.11%
