nohup: ignoring input
Using GPU 2
Start training, lr: 0.001000, batch-size: 10
Model: resnet101
Checkpoint Path: ../checkpoints/
Time: 190514_1531
Training from past model: /home/tsinghuaee13/checkpoints/resnet101_190513_1753_036.pth
[27/41] 32400), Loss: 0.144, mAP 96.68%
[28/41] 32500), Loss: 0.062, mAP 95.05%
[28/41] 32600), Loss: 0.059, mAP 94.64%
[28/41] 32700), Loss: 0.031, mAP 96.28%
[28/41] 32800), Loss: 0.053, mAP 94.94%
[28/41] 32900), Loss: 0.084, mAP 96.89%
[28/41] 33000), Loss: 0.068, mAP 95.02%
[28/41] 33100), Loss: 0.046, mAP 95.67%
[28/41] 33200), Loss: 0.066, mAP 96.05%
[28/41] 33300), Loss: 0.055, mAP 95.41%
[28/41] 33400), Loss: 0.034, mAP 95.52%
[28/41] 33500), Loss: 0.071, mAP 95.93%
[28/41] 33600), Loss: 0.021, mAP 94.67%
[29/41] 33700), Loss: 0.022, mAP 95.57%
[29/41] 33800), Loss: 0.024, mAP 96.60%
[29/41] 33900), Loss: 0.049, mAP 92.81%
[29/41] 34000), Loss: 0.046, mAP 94.78%
[29/41] 34100), Loss: 0.026, mAP 94.45%
[29/41] 34200), Loss: 0.049, mAP 96.14%
[29/41] 34300), Loss: 0.058, mAP 95.74%
[29/41] 34400), Loss: 0.019, mAP 95.71%
[29/41] 34500), Loss: 0.035, mAP 95.54%
[29/41] 34600), Loss: 0.080, mAP 94.10%
[29/41] 34700), Loss: 0.037, mAP 94.67%
[29/41] 34800), Loss: 0.045, mAP 96.08%
[30/41] 34900), Loss: 0.047, mAP 96.68%
[30/41] 35000), Loss: 0.022, mAP 97.31%
[30/41] 35100), Loss: 0.073, mAP 94.31%
[30/41] 35200), Loss: 0.087, mAP 95.97%
[30/41] 35300), Loss: 0.095, mAP 95.69%
[30/41] 35400), Loss: 0.050, mAP 96.38%
[30/41] 35500), Loss: 0.139, mAP 95.07%
[30/41] 35600), Loss: 0.087, mAP 96.11%
[30/41] 35700), Loss: 0.059, mAP 95.73%
[30/41] 35800), Loss: 0.039, mAP 95.08%
[30/41] 35900), Loss: 0.019, mAP 93.94%
[30/41] 36000), Loss: 0.051, mAP 94.44%
[31/41] 36100), Loss: 0.082, mAP 96.19%
[31/41] 36200), Loss: 0.085, mAP 96.45%
[31/41] 36300), Loss: 0.041, mAP 92.73%
[31/41] 36400), Loss: 0.081, mAP 94.57%
[31/41] 36500), Loss: 0.053, mAP 96.20%
[31/41] 36600), Loss: 0.044, mAP 95.15%
[31/41] 36700), Loss: 0.086, mAP 95.89%
[31/41] 36800), Loss: 0.051, mAP 95.60%
[31/41] 36900), Loss: 0.039, mAP 96.77%
[31/41] 37000), Loss: 0.088, mAP 93.82%
[31/41] 37100), Loss: 0.071, mAP 95.86%
[31/41] 37200), Loss: 0.020, mAP 94.05%
Saved: ../checkpoints/
TESTING: 37293), mAP 94.34%
[32/41] 37300), Loss: 0.022, mAP 97.70%
[32/41] 37400), Loss: 0.113, mAP 93.72%
[32/41] 37500), Loss: 0.072, mAP 94.31%
[32/41] 37600), Loss: 0.026, mAP 94.98%
[32/41] 37700), Loss: 0.049, mAP 95.63%
[32/41] 37800), Loss: 0.057, mAP 96.79%
[32/41] 37900), Loss: 0.076, mAP 93.49%
[32/41] 38000), Loss: 0.047, mAP 93.92%
[32/41] 38100), Loss: 0.027, mAP 94.46%
[32/41] 38200), Loss: 0.051, mAP 96.08%
[32/41] 38300), Loss: 0.089, mAP 97.67%
